name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Gap angle,cos(gap angle),UAV Speed,UAV Payload,Final UAV Speed
"Birmingham, England, United Kingdom",6/1/2022,12.5,12.5,9,79.28,0.03,100,rain,0,0,8.60,8.80,343,1016.2,72.2,15.8,132,0.5,1,3,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",268,0.6704499692,27.53429609,9.50372106,33.22923203
"Birmingham, England, United Kingdom",6/1/2022,12.7,12.7,8,73.1,0,0,,0,0,6.00,4.90,344,1016.9,91,19,334,1.2,3,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",66,0.5767046969,26.32340256,2.288857464,29.67147287
"Birmingham, England, United Kingdom",6/1/2022,13.9,13.9,7.8,66.49,0,0,,0,0,9.50,6.20,324,1017,54.7,16.6,997,3.6,10,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",211,0.8467520985,26.26262427,1.693781478,33.36373473
"Birmingham, England, United Kingdom",6/1/2022,15,15,7.9,62.76,0.12,100,rain,0,0,12.40,8.70,261,1017.1,45.2,15.7,756,2.7,8,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",329,0.7279025706,29.96457919,8.815161177,36.94633765
"Birmingham, England, United Kingdom",6/1/2022,15,15,7.1,59.02,0,0,,0,0,10.00,5.50,318,1017.2,63.9,16.8,330,1.2,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",265,-0.9979349983,23.41096852,14.28913458,13.02767104
"Birmingham, England, United Kingdom",6/1/2022,16,16,8,59.15,0,0,,0,0,13.50,5.30,349,1017.3,61.4,17.5,367,1.3,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",315,-0.9612629164,21.39674076,13.80748187,10.86758343
"Birmingham, England, United Kingdom",6/1/2022,16.8,16.8,6.3,49.83,0,0,rain,0,0,14.50,9.90,321,1017.9,58.7,18.2,304,1.1,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",72,-0.9268094067,28.28047858,10.16889789,13.59968903
"Birmingham, England, United Kingdom",6/1/2022,16.8,16.8,5.4,46.94,0,0,,0,0,15.40,9.40,15,1018,60.5,19.3,227,0.8,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",335,0.5019222078,27.50358514,8.753142719,32.68052005
"Birmingham, England, United Kingdom",6/1/2022,15.1,15.1,8.1,62.98,0,0,,0,0,11.50,9.90,28,1018.1,61.4,17.2,214,0.8,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",309,-0.04950951428,22.89109993,11.67565245,20.46714553
"Birmingham, England, United Kingdom",6/1/2022,15.7,15.7,8.1,60.73,0,0,,0,0,8.80,6.20,356,1018.1,25.3,16.4,70,0.3,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",299,-0.9449566017,24.66036968,0.2845709776,16.53456898
"Birmingham, England, United Kingdom",6/1/2022,15.4,15.4,7.2,58.27,0,0,,0,0,8.60,8.00,13,1018.2,11.2,19.1,88,0.3,1,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",23,-0.09504569302,28.15977436,8.519580541,25.58176693
"Birmingham, England, United Kingdom",6/1/2022,13.1,13.1,7.7,69.63,0,0,,0,0,3.80,3.50,41,1018.9,3.1,18.2,12,0,0,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",45,-0.591812726,27.60064587,1.046105513,24.73635601
"Birmingham, England, United Kingdom",6/1/2022,10.5,10.5,7.4,81.35,0,0,,0,0,4.70,3.00,53,1019.3,5,19,5,0,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",28,-0.4783516411,20.05571788,13.29665914,16.24254831
"Birmingham, England, United Kingdom",6/1/2022,8.6,8.6,7.4,92.06,0,0,,0,0,5.20,3.70,246,1020.1,3,16.2,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",249,-0.77954404,25.63810382,0.9201922603,21.51418444
"Birmingham, England, United Kingdom",6/2/2022,7.2,7.2,6.9,97.83,0,0,,0,0,7.10,3.30,83,1020.2,0,13.8,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",107,-0.1688428846,23.06346802,9.939053226,20.65801523
"Birmingham, England, United Kingdom",6/2/2022,6.5,6.5,6.3,98.44,0,0,,0,0,3.40,1.70,291,1020.2,0,10.5,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",168,0.9889300544,27.5245063,8.980933999,28.45547256
"Birmingham, England, United Kingdom",6/2/2022,6.1,6.1,6,98.84,0,0,,0,0,5.40,2.90,239,1020.2,0,8.9,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",209,0.5952036675,29.75933629,3.210417687,31.70666492
"Birmingham, England, United Kingdom",6/2/2022,5.2,5.2,5.1,99.3,0,0,,0,0,2.00,0.60,260,1020.3,3,8.2,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",123,-0.7048688369,26.97362802,4.023625133,25.450759
"Birmingham, England, United Kingdom",6/2/2022,4.4,4.4,4.3,99.48,0,0,,0,0,4.10,0.50,342,1020.3,0,7.7,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",336,0.9559653049,21.23071237,13.36715758,20.86323572
"Birmingham, England, United Kingdom",6/2/2022,4.2,4.2,4.1,99.04,0,0,,0,0,1.00,1.30,113,1020.3,60.8,6.7,0,,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03647099999,03535099999,03544099999",95,-0.2857427447,27.82207314,3.792989397,26.6707882
"Birmingham, England, United Kingdom",6/2/2022,5.7,5.7,5.7,99.6,0,0,,0,0,2.20,1.40,1,1020.3,29.8,7.7,32,0.1,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",353,0.9866903554,20.71571318,5.515402638,21.91496233
"Birmingham, England, United Kingdom",6/2/2022,9.2,9.2,9.2,99.94,0,0,,0,0,2.00,3.60,129,1020.3,1.6,9.3,129,0.5,1,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",0,1,29.84683597,2.185263848,33.54601831
"Birmingham, England, United Kingdom",6/2/2022,12.4,12.4,9.9,84.97,0,0,,0,0,6.20,6.50,136,1020.9,0,12.9,257,0.9,3,10,Clear,clear-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999",320,0.95088376,23.3946031,9.423352526,29.6797476
"Birmingham, England, United Kingdom",6/2/2022,14.7,14.7,9.8,72.28,0,0,,0,0,10.50,6.50,141,1020.8,0,17.7,403,1.5,4,10,Clear,clear-day,3.5291E+64,142,0.7489754001,22.48874785,6.424396615,28.49367763
"Birmingham, England, United Kingdom",6/2/2022,16.9,16.9,8.4,57.4,0,0,,0,0,13.10,10.10,140,1020.8,17.8,17.3,558,2,6,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",246,-0.006319845573,26.31211594,13.00507405,23.94490698
"Birmingham, England, United Kingdom",6/2/2022,17.8,17.8,7.1,49.74,0,0,rain,0,0,15.20,8.40,31,1020.2,29.2,18.7,696,2.5,7,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",300,-0.4709348451,25.86906164,7.564156691,18.69743599
"Birmingham, England, United Kingdom",6/2/2022,18.6,18.6,6.9,46.54,0,0,,0,0,18.50,10.80,126,1020.1,29.7,20.8,813,2.9,8,10,Partially cloudy,partly-cloudy-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999",38,-0.9932896575,20.44543433,14.51439725,2.833162998
"Birmingham, England, United Kingdom",6/2/2022,18.3,18.3,6.3,45.54,0,0,rain,0,0,16.50,10.90,142,1019.9,38.6,20.7,287,1,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",245,0.6748724645,23.41809824,4.808969506,32.99660012
"Birmingham, England, United Kingdom",6/2/2022,19.1,19.1,6.1,42.62,0,0,rain,0,0,17.20,9.30,148,1019.2,31.6,19.3,394,1.4,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",343,0.2177694205,29.85650591,9.300297298,31.03069027
"Birmingham, England, United Kingdom",6/2/2022,19.2,19.2,6.1,42.43,0,0,rain,0,0,18.70,9.70,143,1019,23.3,17.5,919,3.3,9,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",117,0.8512047864,22.70115677,5.099260943,34.43612589
"Birmingham, England, United Kingdom",6/2/2022,19,19,6.3,43.53,0,0,rain,0,0,16.80,11.10,154,1018.9,38.5,20,388,1.4,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",312,0.8132916874,22.48625162,1.636459041,34.91659725
"Birmingham, England, United Kingdom",6/2/2022,19,19,7,45.81,0,0,rain,0,0,14.80,10.10,150,1018.8,39.4,19.8,230,0.8,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",261,0.976456839,25.32501858,6.80385272,37.89710857
"Birmingham, England, United Kingdom",6/2/2022,18.9,18.9,7.2,46.47,0,0,rain,0,0,14.90,9.60,145,1018.1,47.5,19.6,149,0.5,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",161,0.6181017745,21.67493386,4.490383359,29.418864
"Birmingham, England, United Kingdom",6/2/2022,18.5,18.5,6.9,46.78,0,0,,0,0,10.40,7.70,150,1018,34.7,20.7,98,0.4,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",325,-0.6147842638,20.49189287,11.19369263,12.52170946
"Birmingham, England, United Kingdom",6/2/2022,17.5,17.5,8,53.7,0,0,rain,0,0,9.40,8.10,139,1018,43.5,19.5,137,0.5,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",110,0.8771587248,24.04663174,11.71854124,31.47451617
"Birmingham, England, United Kingdom",6/2/2022,15.9,15.9,8.1,59.75,0,0,,0,0,5.80,7.20,125,1018,31.3,19,5,0,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",4,-0.9882961052,22.34629697,5.738557408,12.84517555
"Birmingham, England, United Kingdom",6/2/2022,13.8,13.8,8.4,69.54,0,0,,0,0,21.20,10.40,132,1018.2,1.8,19.1,1,0,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",104,-0.6673179807,26.50184027,11.12524863,13.81882301
"Birmingham, England, United Kingdom",6/2/2022,12.6,12.6,8.8,77.44,0,0,,0,0,14.10,11.00,140,1018.3,1.6,18.9,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",170,0.22359883,28.90017291,3.13122516,31.59826213
"Birmingham, England, United Kingdom",6/3/2022,11.4,11.4,7.8,78.33,0,0,,0,0,10.10,9.70,147,1018.3,2.2,19,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",325,-0.6147842638,25.15226247,1.400024773,17.29619617
"Birmingham, England, United Kingdom",6/3/2022,10.1,10.1,7.9,86.21,0,0,rain,0,0,9.70,10.40,140,1019,4.2,11.6,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03647099999,03534099999,03544099999",221,-0.1771423291,20.34477869,7.871398419,16.97610194
"Birmingham, England, United Kingdom",6/3/2022,11.1,11.1,7.7,79.58,0,0,,0,0,11.80,8.50,153,1018.9,38.4,18.8,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",304,0.5999957942,20.94383509,3.431463186,27.45503935
"Birmingham, England, United Kingdom",6/3/2022,11.1,11.1,7.7,79.88,0,0,,0,0,10.90,8.70,144,1018.9,42,19.2,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",170,0.22359883,29.94305799,5.162989134,31.50847416
"Birmingham, England, United Kingdom",6/3/2022,10.9,10.9,7.7,80.36,0,0,,0,0,7.70,5.80,141,1018.3,92.1,15.9,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",245,0.6748724645,28.19203292,6.899757257,32.19698535
"Birmingham, England, United Kingdom",6/3/2022,10.8,10.8,8.2,83.96,0,0,,0,0,4.70,4.60,142,1018.2,71.1,14.2,5,0,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",331,-0.6279882385,29.57806655,13.83142575,23.17387381
"Birmingham, England, United Kingdom",6/3/2022,10.9,10.9,8.7,86.28,0,0,,0,0,9.60,8.20,121,1018.1,41.5,12.6,18,0.1,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",300,-0.4709348451,22.4479268,7.873990745,16.2007873
"Birmingham, England, United Kingdom",6/3/2022,11.8,11.8,8.7,80.92,0,0,,0,0,11.00,6.80,109,1018.4,42.4,13.7,93,0.3,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,03647099999,03535099999,03534099999,AU757,03544099999",277,0.9229346707,20.20262986,5.849794684,28.40138884
"Birmingham, England, United Kingdom",6/3/2022,12.4,12.4,8.8,78.66,0,0,,0,0,10.00,8.10,72,1018.3,37.8,13.8,167,0.6,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",271,0.1646886297,26.08098411,4.117538615,27.13875401
"Birmingham, England, United Kingdom",6/3/2022,12.9,12.9,8.8,76.24,0,0,,0,0,10.90,8.00,73,1018.9,85,18.3,261,0.9,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03647099999,03535099999,AU757,03544099999",318,0.381381847,20.83998272,9.380782918,23.6976785
"Birmingham, England, United Kingdom",6/3/2022,15.1,15.1,9.6,69.93,0.01,100,rain,0,0,13.40,9.70,70,1018.9,29.5,14.9,267,1,3,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",228,0.7677492037,23.16806154,12.65318014,31.40777013
"Birmingham, England, United Kingdom",6/3/2022,16.5,16.5,9.5,63.47,0,0,,0,0,16.90,14.00,71,1018.8,31.8,14.5,367,1.3,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",26,0.8390021599,27.02822429,7.861705366,41.14352427
"Birmingham, England, United Kingdom",6/3/2022,18.4,18.4,9.7,56.73,0,0,rain,0,0,29.10,20.30,76,1018.1,29.6,15,793,2.9,8,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",302,0.8435574232,28.08661654,12.31097683,49.45990838
"Birmingham, England, United Kingdom",6/3/2022,19,19,11,59.82,0,0,rain,0,0,29.30,18.50,67,1018.7,66.1,14.3,918,3.3,9,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",331,-0.6279882385,24.44276682,4.558007631,7.169399734
"Birmingham, England, United Kingdom",6/3/2022,19.1,19.1,11.3,60.44,0,0,rain,0,0,26.20,18.50,81,1018.7,82.5,15.1,566,2,6,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",351,-0.08665404863,24.39922367,7.413107026,20.98411275
"Birmingham, England, United Kingdom",6/3/2022,18.9,18.9,10.7,58.91,0,0,rain,0,0,29.30,17.20,71,1018.1,61.7,15.3,459,1.7,5,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,D6997,EGBB,03535099999,03534099999,03544099999",30,-0.9121880689,27.28658615,6.021454513,3.365396614
"Birmingham, England, United Kingdom",6/3/2022,18,18,10.9,63.1,0,0,rain,0,0,18.30,14.90,58,1018.1,91,14,348,1.3,3,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",120,-0.1177454071,25.86768459,7.611613319,22.22532608
"Birmingham, England, United Kingdom",6/3/2022,16.8,16.8,12.4,75.17,0,0,rain,0,0,24.10,15.70,72,1018.8,91.1,13.2,120,0.4,1,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",85,0.7821760767,25.48025912,9.457126538,41.1870603
"Birmingham, England, United Kingdom",6/3/2022,16,16,12.9,81.8,1.47,100,rain,0,0,21.30,13.30,51,1018.9,88.8,13.7,90,0.3,1,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",238,-0.3075443338,29.83623552,12.34263182,21.5417971
"Birmingham, England, United Kingdom",6/3/2022,16.5,16.5,11.2,70.96,0.15,100,rain,0,0,26.00,17.00,66,1019,40.3,14.6,74,0.3,1,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",98,-0.5732575556,23.94101317,1.932004465,9.907691915
"Birmingham, England, United Kingdom",6/3/2022,16,16,9.9,67.16,0,0,,0,0,27.70,16.20,67,1019.2,34.6,16.1,67,0.2,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",215,-0.9179953104,23.76875335,13.28384167,0.00284450523
"Birmingham, England, United Kingdom",6/3/2022,15.4,15.4,9,65.62,0,0,,0,0,31.70,15.50,61,1020,37.7,16.4,16,0.1,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",209,0.5952036675,20.69708127,14.56048394,32.95145429
"Birmingham, England, United Kingdom",6/3/2022,14.4,14.4,9,69.95,0,0,,0,0,24.50,18.20,54,1021,40.3,16.4,18,0.1,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",124,-0.03511924798,28.81479163,2.974558178,27.37447865
"Birmingham, England, United Kingdom",6/3/2022,13.4,13.4,8,69.7,0,0,,0,0,25.70,19.90,50,1021.8,41.7,17.6,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",145,0.0537171539,25.28157295,4.051012161,26.03637557
"Birmingham, England, United Kingdom",6/4/2022,12.4,12.4,8.4,76.52,0,0,,0,0,25.50,16.60,48,1022,37.9,16.6,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",18,0.635885614,24.22043236,0.988555728,38.94596945
"Birmingham, England, United Kingdom",6/4/2022,11,11,10,93.16,0,0,,0,0,23.10,16.30,48,1022.2,79.8,13.5,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",198,-0.9628931346,21.98609213,13.67507628,-1.652353496
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,9.6,91.72,0,0,,0,0,27.50,19.00,48,1022.2,92.2,12.2,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",296,0.3308503522,23.90514822,3.331061004,32.08972727
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,9.6,91.11,0,0,,0,0,31.70,20.10,48,1022.2,92.2,13,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",60,0.6641741462,23.98198748,5.566174545,42.06351126
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,8.8,86.86,0,0,,0,0,24.10,19.60,48,1022.2,92.2,14.4,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",9,0.9044019057,21.21434137,1.390608609,44.56354215
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,8.8,86.64,0,0,,0,0,25.70,19.60,50,1022.2,92.2,13.9,12,0,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",186,0.7433654838,29.04616022,3.12275435,48.11236559
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,8.8,86.54,0.05,100,rain,0,0,26.30,18.30,49,1022.3,92.2,14.5,22,0.1,0,10,"Rain, Overcast",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",281,-0.8534084848,20.75428052,0.6250653649,-0.9423416947
"Birmingham, England, United Kingdom",6/4/2022,11,11,8.8,86.2,0,0,,0,0,27.50,20.20,51,1022.9,92.2,14.5,83,0.3,1,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",2,0.0764980223,28.32480263,13.88538826,27.80974746
"Birmingham, England, United Kingdom",6/4/2022,11.9,11.9,8.8,81.29,0,0,,0,0,28.90,20.80,48,1022.9,91.7,15.3,97,0.3,1,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",5,-0.8287275724,22.25350228,8.245061442,-2.601996574
"Birmingham, England, United Kingdom",6/4/2022,12.4,12.4,8.7,78.04,0,0,,0,0,31.20,21.60,62,1023,90.1,15.4,258,0.9,3,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",272,-0.5494195852,29.05456673,11.90398902,10.3044184
"Birmingham, England, United Kingdom",6/4/2022,12.8,12.8,8.7,75.84,0,0,,0,0,31.60,21.90,60,1023,76.1,16.5,329,1.2,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",176,0.8981626889,21.91021207,9.507541083,47.76925804
"Birmingham, England, United Kingdom",6/4/2022,12.9,12.9,8.7,75.68,0,0,,0,0,35.60,23.60,61,1023,64,16.4,274,1,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",25,0.9852851019,25.91496969,9.984366217,56.80813204
"Birmingham, England, United Kingdom",6/4/2022,12.9,12.9,9.2,77.9,0,0,,0,0,28.60,19.50,55,1023.1,64.3,16.3,156,0.6,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",219,0.9677502811,21.92299746,2.611848139,47.80238417
"Birmingham, England, United Kingdom",6/4/2022,13,13,9.3,77.99,0.04,100,rain,0,0,25.60,20.50,57,1023.1,63.8,16.6,237,0.9,2,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",337,0.9007743996,24.34310761,9.092981452,47.49032296
"Birmingham, England, United Kingdom",6/4/2022,14,14,9.7,75.48,0,0,,0,0,31.50,22.30,58,1022.9,64.4,16,239,0.9,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",151,0.9600930744,20.5126123,2.849689165,49.60791014
"Birmingham, England, United Kingdom",6/4/2022,14.2,14.2,8.9,70.75,0,0,,0,0,30.90,22.50,64,1022.2,45.2,17.8,181,0.7,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",189,-0.9859964801,20.9929856,8.251822678,-10.48162828
